1cl        0.0
1buoh      0.0
1buoh1cl   -6.360157056980825
2buoh1cl   -8.321053731740903
3buoh1cl   -8.107232084492352
4buoh1cl   -8.288705952089003
5buoh1cl   -7.318950265822423
6buoh1cl   -6.384171596802844
7buoh1cl   -4.39980003479468
8buoh1cl   -2.3892741477775417
9buoh1cl   1.7999986305203493
10buoh1cl  4.369585765349257
11buoh1cl  7.4270753077416884
12buoh1cl  10.569265205091142
13buoh1cl  12.498755354694367
14buoh1cl  17.71594707236909
15buoh1cl  22.388579136515546
16buoh1cl  22.715370148855072
17buoh1cl  32.025450183979046
18buoh1cl  31.326236141145273
19buoh1cl  41.619312175838786
20buoh1cl  41.295959879933434
21buoh1cl  49.822633794739886
22buoh1cl  46.73973665581252
23buoh1cl  63.75200813897936
24buoh1cl  56.46683635964109
25buoh1cl  63.916922202448404
26buoh1cl  69.85131219884897
27buoh1cl  70.25602653383794
28buoh1cl  67.95071228744746
29buoh1cl  80.56144555250467
30buoh1cl  88.66956869122623
31buoh1cl  87.86303908534865
32buoh1cl  87.36168928845836
33buoh1cl  99.31791182438428
34buoh1cl  91.786194116341
35buoh1cl  103.86102726933132
36buoh1cl  103.41179787169494
37buoh1cl  111.3759655471058
38buoh1cl  122.22063554398301
39buoh1cl  119.44567922729584
40buoh1cl  121.84072640264458
