1w       0.0
1na      0.0
1na1w    -16.846008288300254
1na2w    -29.14313437905912
1na3w    -36.62982874684894
1na4w    -42.2379862086309
1na5w    -43.840283743978944
1na6w    -44.51228925673422
1na7w    -44.90889625285854
1na8w    -45.205334945090726
1na9w    -46.464049487818556
1na10w   -46.45567859780567
1na11w   -46.88502242543473
1na12w   -48.78667654196033
1na13w   -48.62353203698876
1na14w   -49.041925937272026
1na15w   -50.10352296261408
1na16w   -51.10814271555137
1na17w   -51.582647934090346
1na18w   -53.1567203845043
1na19w   -53.79699307055853
1na20w   -54.117308251938084
1na21w   -52.51246305440145
1na22w   -52.665812237537466
1na23w   -54.050472907401854
1na24w   -55.10898889300006
1na25w   -55.934356138968724
1na26w   -57.27160268215812
1na27w   -56.65038098717923
1na28w   -59.00034207200224
1na29w   -56.74889895819069
1na30w   -58.44027054439357
1na31w   -60.390694194080424
1na32w   -61.36954867382883
1na33w   -60.73247625307704
1na34w   -62.01846207618655
1na35w   -64.60026041937817
1na36w   -63.82936043383961
1na37w   -64.61790580375236
1na38w   -65.37879711645655
1na39w   -66.51149023170001
1na40w   -66.54313520799042
1na50w   -78.12262376782019
1na60w   -84.87331359190284
1na70w   -95.9198136535997
1na80w   -107.27027616847772
1na90w   -119.33489357260987
1na100w  -135.34646092157345
1na110w  -147.84150145860622
1na120w  -161.40346024633618
1na130w  -184.73630589718232
1na140w  -197.07074331637705
1na150w  -203.19509729603305
